Screen Name;Full Name
@DrLeoStrauss;Leo Strauss
@Destinbeach22;❤️PARIS DEPLORABLE❤️
@olddog95;GSD’s
@Putin_jnr;Captain Of Peace®
@DocAdams1;Doc Adams
@Diplopundit;Diplopundit #WearAMask
@arizona319;mkdarizona
@timeoutofmind64;Alan Cole
@GlobalPandemics;GlobalPandemic.NET
@gamegrouch;Patrick Wayne
@bot_london;London's Bot
@FrancoZerlenga;Franco Zerlenga
@Wepp;Wepp
@notbetty4ever;sister golden hair surprise
@ellebal1111;François Labelle
@bsonder;bsonder
@GIS_Reports;GIS Reports Online
@meljmcd;Melanie McDonald
@Eagle5022;Eagle502
@maquishq;Gabrielle MaquisHQ🇫🇷🇺🇸🇪🇺
@AncsyM;Martha Hoggard Cripe
@WINDSONG58;Carole Sanders.......and Omran.
@DMDent;David Dent
@Vincent94077438;Vincent Murray
@LanceMa89524580;The Bay Ridge Crow
@fytethefakepres;canary coup
@mpalmond;Mark Almond
@RogerRRivera1;Roger R. Rivera
@LCSTORM2;LCSTORM
@idaw468_ida;Ida williams
@dotsamir;🇺🇸Samir N.🗽
@MaryLambertyb8s;Mary Lamberty Bates
@BuckeyeBruce01;Readyfor2020
@kingfish7418;AJ Saint 👼☈❄ VOTE BLUE NO MATTER WHO, #PRU. #BLM
@JudithFeldman89;Judith Feldman
@BlackcityL;🇸🇳زكريا zakariiyaa🏴‍☠️
@JackiBandMe;Jacki Beagle
@DebiecJacek;Jacek Debiec
@Recon2092;Sandy
@houdini91_;David Blaine #CheminDuRoi
@jackhammer29006;Jake Castro
@KirstinElaine1;Kirstin Elaine Martin
@Needs2HearThis;Matt
@rosalindprestag;rosalind prestage
@nbrew73;Norman Brewer, Author of Killer Politics
@topspin7777;TOPSPIN
@kolga;Marcus Kolga
@benmartell;Ben Martell 🥃
@antiieess;polina
@albany_local;Albany Local Journal
@BelarusinFocus;Belarus in Focus
@BobBunker8;BunkerBob
@DelthiaRicks;delthia ricks 🔬
@Tlureau;thomas lureau
@RyszardZebrak;Ryszard Zebrak
@HugoMangoferoz;hugo lopez
@Skirmont;Deborah Skirmont
@devourtherich;DovewithclawsII
@AnalizeThis;analizethis
@RichardSylves15;Richard Sylvester
@oleman2200_josh;Redneck JoshRandal
@kukisplant;🍃⁷
@ELuttwak;Edward N Luttwak
@honey_resister;HONEY LOVE #RESISTER #StrongerTogether #WearAmask
@mkmiller63;Malinda Miller
@boomer_lib;LadyLib
@golinus;linusg
@mrjohsand;Juancho El Tonejo™
@skyriders1;Helene Bolduc
@mikeystep;Step✌️☮️
@tracilaw;Traci Law
@stoddard38;BarbaraBuon
@DDBURNES;DIANA PARKS
@paulmotty;Political Gambler
@positivehater1;Belarus in action
@buffymuffy4444;P H Muff N Buff
@catsden234;VickiW22
@news18dotcom;News18.com
@pyramidmedicine;Nancy Onyett, FNP-C
@TheBomb1987;Kelly G.
@Cecalli_Helper;The Ghost of Dr Carl Jensen
@ValentinAleida;Aleida Valentin
@rentparisnow;Rent Paris Now Team
@GVS_News;Global Village Space
@InUnfunky;Trey, Unfunky In 5/4
@EspritdeCorp258;Espritdecorp258 💙🇺🇸🌊
@philipotto23;Philip Otto
@DoughboyLA;Darin Baker
@SirOscarM;SirOscarM
@24baseballReed;c.anne Reed
@Chauthaidiot;Pun-Dit
@JJ56123;JuliaPoems
@islosingweight;Contemplating
@Carolinepanett1;Caroline Panetta
@BizNewsCOM;BizNews.com
@tharunam;ash pan
@kprochnow;Kenneth Prochnow
@Njeanous;Njeanous
@mrchambersblog;Randall Stevens
@rider505;Wpg Jets & NYI Fan in NY
