Tweet ID;Retweets;Favorites;App
1293673804787593216;0;0;Twitter for iPad
1293673783165882374;0;0;Twitter Web App
1293673750408433667;1;1;Twitter Web App
1293673745148764160;0;0;Twitter for iPhone
1293673669236002819;0;0;Twitter for Android
1293673516512899072;0;0;Twitter Web App
1293673491737313281;0;0;Twitter for Android
1293673475962548234;0;0;Twitter for iPhone
1293673431657902080;0;0;Twitter for iPhone
1293673417690898432;0;0;Twitter Web App
1293673371566317570;0;0;Twitter for iPhone
1293673356525355009;0;0;Twitter for Android
1293673347042222081;0;0;Twitter for iPhone
1293673282428784641;0;0;Twitter for Android
1293673247633035267;0;0;Twitter Web App
1293673179504877570;0;0;Twitter for iPhone
1293673162845179922;0;0;Twitter for iPhone
1293673159124643840;0;1;Twitter Web App
1293673135817072642;0;0;Twitter for iPhone
1293673045622652928;1;0;Twitter Web App
1293672866379177988;0;0;Twitter for Android
1293672864416137219;0;1;Twitter for iPad
1293672818962464775;0;0;Twitter for iPhone
1293672770786799616;0;0;Twitter for iPhone
1293672750326910978;0;0;Twitter for Android
1293672749399932929;0;0;Twitter Web App
1293672704340623367;0;0;Twitter Web App
1293672677903867904;0;0;Twitter Web App
1293672621503127554;1;0;Twitter for iPad
1293672616792915970;0;0;Twitter for iPhone
1293672584194560000;0;1;Twitter for Android
1293672556642402310;0;0;Twitter for iPad
1293672537159802883;0;2;Twitter Web App
1293672531417866241;0;0;Twitter for iPhone
1293672455861657601;0;0;Twitter Web App
1293672384214507520;0;0;Twitter for iPhone
1293672361787523073;0;1;Twitter for iPhone
1293672360512495617;0;0;Twitter Web App
1293672326282829831;0;0;Twitter for iPhone
1293672299711934466;0;0;Twitter Web App
1293672266631393288;0;0;Twitter for iPhone
1293672256565055501;0;0;Twitter for Android
1293672205927227400;2;6;TweetDeck
1293672072615469056;0;0;Twitter for Android
1293672058488885249;0;1;Twitter for iPhone
1293672041321771010;0;0;Twitter for iPhone
1293671962137378816;0;0;Twitter Web App
1293671938548592640;0;2;Twitter for Android
1293671837541392385;1;1;Twitter for iPhone
1293671831728271362;0;1;Twitter for iPhone
1293671791546621952;0;0;Twitter Web App
1293671790464716801;1;2;Twitter for iPhone
1293671789994811392;0;1;Twitter Web App
1293671752933896193;0;0;Twitter for iPhone
1293671693928394752;0;0;Twitter for iPhone
1293671663880593411;0;2;Twitter Web App
1293671644347674627;0;0;Twitter for iPhone
1293671572734193664;0;0;Twitter for iPhone
1293671421730869254;0;0;Twitter for Android
1293671405893156864;0;0;Twitter Web App
1293671366357647362;0;0;Twitter for Android
1293671305984843777;0;0;Twitter Web App
1293671282513457152;0;0;Twitter Web App
1293671265404887041;0;1;Twitter for iPhone
1293671254092926977;0;1;Twitter Web App
1293671171498573824;0;2;Twitter for iPhone
1293671169762242562;0;0;Twitter for Android
1293671088509992961;0;0;Twitter Web App
1293671074484441093;0;0;Twitter for iPhone
1293671062543065093;0;0;Twitter for Android
1293671029131235329;0;0;Twitter for iPhone
1293670916166221827;0;0;Twitter for iPhone
1293670753381109760;1;3;Twitter Web App
1293670648737337351;0;0;Twitter for iPhone
1293670613169647617;0;2;Twitter for iPad
1293670585298452486;0;0;Twitter for Android
1293670566692618248;0;0;Twitter Web App
1293670521159192576;1;0;Twitter Web App
1293670492704890880;0;0;Twitter for iPhone
1293670385611726849;0;0;Twitter for iPhone
1293670275029127168;0;0;Twitter for iPad
1293670216132521984;0;0;Twitter for iPhone
1293670123010772993;0;0;Twitter Web App
1293670095495901185;0;1;Twitter Web App
1293670073903624194;0;1;Twitter for Android
1293670055423676420;0;0;Twitter for Android
1293670012004102144;1;5;Twitter for Android
1293669974842568704;0;0;Twitter Web App
1293669887664173056;0;0;Twitter for Android
1293669794449891328;0;0;Twitter Web App
1293669781095227394;0;0;Twitter for iPhone
1293669679953657856;0;0;Twitter for iPhone
1293669652330156032;0;0;Twitter Web App
1293669649477967872;0;1;Twitter for iPhone
1293669587939143681;0;0;Twitter Web App
1293669585959280640;0;1;Twitter Web App
1293669490832445440;0;0;Twitter for iPhone
1293669430518480898;0;0;covid19worldstats
1293669400340389888;0;0;Twitter for Android
1293669350688223233;0;0;Twitter Web App
1293658739887804417;0;0;Twitter for Android
1293658736834367488;0;0;Twitter for Android
1293658668911730689;0;0;Twitter Web App
1293658645251739648;0;0;Twitter for Android
1293658590717382659;0;1;Twitter for iPhone
1293658579795410944;0;0;Twitter Web App
1293658565111152640;0;1;Twitter Web App
1293658538200506369;0;0;Twitter Web App
1293658533934895106;0;0;Twitter Web App
1293658529484738561;0;0;Buffer
1293658517543428097;0;0;TweetDeck
1293658436924833792;0;0;Twitter for Android
1293658415894605825;0;0;Twitter for iPhone
1293658382591614977;0;0;Twitter Web App
1293658371019743236;1;2;WordPress.com
1293658192598183936;0;0;Twitter for iPhone
1293658045336162306;0;0;Twitter for iPhone
1293657948099694594;0;0;Twitter for Android
1293657931934830595;4;32;Twitter for iPhone
1293657839882448896;0;0;Twitter for iPhone
1293657705899589632;0;0;Twitter Web App
1293657675692158976;1;1;Twitter Web App
1293657673297256452;0;0;Twitter Web App
1293657671820861456;0;0;Twitter for iPhone
1293657642074804225;0;0;Tumblr
1293657625599438848;2;4;Twitter for iPhone
1293657172774133763;0;2;Twitter for iPhone
1293657135801409539;0;0;Cheap Bots, Done Quick!
1293657131531608072;0;0;Twitter for Android
1293657101529747457;2;6;Twitter for Android
1293656962899550208;0;0;Twitter Web App
1293656871736356870;0;0;Twitter for iPhone
1293656857647681537;0;0;Twitter for iPad
1293656856125214721;0;0;Twitter Web App
1293656813397774336;0;0;Twitter for Android
1293656730593898497;0;0;Twitter for iPhone
1293656689783132160;0;0;Twitter for Android
1293656642966388737;0;0;Twitter for Android
1293656632665219075;0;0;Twitter Web App
1293656484660772865;0;0;Twitter Web App
1293656475697520640;0;0;Twitter for Android
1293656437323964417;1;2;Twitter for iPhone
1293656427467288583;30;90;Twitter for iPhone
1293656254284529668;0;0;RandomNews5
1293656053394145280;0;1;Twitter for Android
1293656005356793861;1;2;Buffer
1293655990617935874;1;1;Twitter for iPhone
1293655990353747968;0;0;Twitter for iPad
1293655975296225280;0;0;Twitter Web App
1293655874683260934;0;1;Twitter for iPhone
1293655802801160194;0;0;Twitter for Android
1293655676409978880;0;1;Twitter for iPhone
1293655659464937473;1;0;Twitter for Android
1293655617882685442;0;0;Twitter for iPhone
1293655608902721536;0;1;Twitter for iPad
1293655548664012800;0;0;Twitter for iPhone
1293655548093583361;0;0;Twitter for Android
1293655504422678528;0;0;Twitter Web App
1293655422218330112;0;0;Twitter for iPhone
1293655397874769924;0;0;Twitter Web App
1293655379541479424;0;0;Twitter Web App
1293655351913582592;0;1;Twitter Web App
1293655293503647745;0;0;Twitter Web App
1293655172292501505;0;0;Twitter for Android
1293655164612685824;0;2;Twitter Web App
1293655091702988800;0;0;Twitter for Android
1293655040645709825;0;0;Twitter Web App
1293654941106606081;0;0;Twitter Web App
1293654802585595907;0;1;Zapier.com
1293654789218336769;0;0;Twitter for iPhone
1293654785392906240;0;1;Twitter Web App
1293654772336087041;3;4;Twitter for Android
1293654769266040835;0;0;Twitter for Android
1293654681919475712;0;0;Twitter Web App
1293654633005670407;0;0;Twitter for iPhone
1293654620728893448;3;7;Twitter Web App
1293654584582430724;0;0;Twitter for iPhone
1293654480895053824;0;0;Twitter for iPhone
1293654444983410689;0;1;Twitter for iPhone
1293654428550135809;0;0;Twitter for iPad
1293654379996819457;1;0;Twitter for iPhone
1293654374342963201;0;0;Twitter for Android
1293654327257530369;0;0;Twitter Web App
1293654160689098753;0;0;Twitter for Android
1293654114816073729;0;0;Twitter Web App
1293654055676518404;0;0;GlobalPandemic.NET
1293653998164037632;0;0;Twitter for Android
1293653974692900868;0;0;Cheap Bots, Done Quick!
1293653886608330755;0;0;Twitter for iPhone
1293653864063750144;0;0;Twitter for iPhone
1293653834586349568;0;0;Twitter for Android
1293653811467255816;0;0;Twitter Web App
1293653795415756801;0;0;Twitter for iPhone
1293653789472436225;0;0;Hootsuite Inc.
1293653787014561792;0;0;Twitter for iPad
1293653760217157635;0;0;Twitter for Android
1293653748732944384;0;2;Twitter Web App
1293653739472027648;1;0;Twitter Web App
1293653692487524354;0;1;Twitter Web App
1293653549952512015;0;1;Twitter Web App
1293643683267596293;0;0;Twitter for iPhone
1293643620130619392;0;0;Twitter Web App
1293643590577590274;0;0;Twitter for iPhone
1293643567169187840;0;0;Twitter Web App
1293643482792251392;0;0;Twitter for iPhone
1293643270959095809;0;0;Twitter for Android
1293643184703143939;0;1;Twitter for Android
1293643180886220800;0;0;Twitter Web App
1293643140587565056;0;0;Twitter for iPhone
1293643094756339715;0;0;Twitter for iPhone
1293642975130468353;0;0;Twitter for Android
1293642967173992448;0;0;Twitter for iPhone
1293642872428941312;0;0;Twitter for iPhone
1293642820973146113;0;0;Twitter for Android
1293642813167603720;1;2;Twitter Web App
1293642806523650048;0;0;Twitter for iPhone
1293642795245346816;0;0;Twitter for iPhone
1293642741046562818;0;0;Twitter Web App
1293642729625464833;1;1;Twitter Web App
1293642679142748161;0;0;Twitter for iPhone
1293642610087731200;0;0;Twitter for iPhone
1293642601166405635;0;0;Twitter Web App
1293642528210784256;0;0;Twitter Web App
1293642432500858886;1;2;Twitter Web App
1293642418978525191;0;0;Twitter Web App
1293642255996260353;0;0;Tweetbot for iΟS
1293642251764146179;0;5;Twitter for Android
1293642047891468288;0;0;Twitter for iPhone
1293642034281164800;0;0;Twitter for Android
1293642005059260416;0;0;Twitter for iPhone
1293641937615048706;2;1;Twitter Web App
1293641865896525824;0;0;Twitter for iPhone
1293641748678402048;0;0;Twitter Web App
1293641743791984643;0;0;Twitter for Android
1293641742894456833;0;0;Twitter for iPhone
1293641679027621893;1;0;Twitter for iPhone
1293641609649827840;1;0;Twitter Web App
1293641595703582721;0;0;Twitter for Android
1293641556772126721;0;0;Twitter for Android
1293641533678288899;0;0;Twitter for iPhone
1293641051568254982;2;6;Twitter Web App
1293640997705003014;1;6;Twitter Web App
1293640945012035585;0;0;Twitter for Android
1293640927307681792;0;0;Twitter Web App
1293640820780761088;0;0;Twitter Web App
1293640820575412225;0;1;Twitter for iPhone
1293640744943497216;0;0;Twitter Web App
1293640678984097793;0;0;Twitter for iPad
1293640544132960256;0;0;Twitter for Android
1293640539372478469;0;1;Twitter for Android
1293640531935985670;0;0;Twitter for Android
1293640512155590658;0;0;Twitter for Android
1293640462054707207;15;23;Twitter for Android
1293640453162594305;0;0;Twitter for iPhone
1293640450667171846;0;0;Twitter for Android
1293640398078803969;0;0;TweetDeck
1293640344202956801;1;3;Twitter for iPhone
1293640297176535041;0;0;Twitter Web App
1293640238305353740;0;0;Twitter Web App
1293640178381225984;0;0;Twitter for Android
1293640134936555526;0;0;Twitter Web App
1293640105517658114;0;0;Twitter for iPhone
1293640062777700353;0;0;GlobalVillageSpace
1293640061188177923;0;1;Twitter for iPhone
1293640012450258944;0;0;Twitter Web App
1293640006880448512;0;0;Twitter for Android
1293639912411914240;0;0;Twitter Web App
1293639910709170184;0;0;Twitter for Android
1293639907286622209;0;1;Twitter Web App
1293639878874296321;0;0;Twitter for iPhone
1293639856648785921;2;1;Twitter Web App
1293639818119962626;0;0;Twitter for iPhone
1293639781046521856;0;1;Twitter for iPhone
1293639746334461952;0;0;Echobox
1293639619750301696;0;0;Twitter Web App
1293639577849102339;0;0;Twitter for iPhone
1293639562418204672;0;0;Twitter Web App
1293639526087303171;0;1;Twitter for iPhone
1293639425830920197;0;0;Twitter for iPhone
1293639302468042752;0;1;Twitter Web App
1293639288274464773;0;1;Twitter for Android
1293639185459552258;0;0;Twitter for iPhone
1293639159018479617;0;0;Twitter Web App
1293639028219219971;0;1;Twitter for Android
1293639019792932864;0;1;Twitter for iPhone
1293638921616871425;46;96;Tweetbot for iΟS
1293638891207979008;3;2;Twitter Web App
1293638812271284224;12;24;Twitter Web App
1293638772706295808;0;0;dlvr.it
1293638746252828672;0;0;Twitter for iPhone
1293638700329349122;0;0;Twitter Web App
1293638641332498433;1;1;Twitter for iPad
1293638414718382084;0;0;Latest Commentary
1293638334074556427;0;0;Twitter for iPhone
1293638259894095872;0;1;Twitter Web App
1293638163651391488;0;0;dlvr.it
1293638158454669313;0;0;Twitter Web App
1293638110992048128;0;0;Twitter for iPhone
1293638059066499072;4;2;Twitter for iPad
1293638054666735616;0;3;Twitter for iPhone
1293628569642573826;0;0;Twitter for iPhone
1293628538378166272;0;0;Twitter for iPhone
1293628502697299969;0;0;Twitter Web App
1293628471474880520;0;0;Twitter Web App
