Screen Name;Followers;Follows;User Since;Location.1;Bio
@ProjectLincolnn;1173;874;18/07/2020;;"Trump is bad “Our job as Americans and as Republicans is to dislodge the traitors from every place where they've been sent"" -Joe McCarthy Left wing satire"
@baryo_j;92;112;2/01/2018;Wayne, MI;I am one who believes in a brotherhood of all people. I believe we need our help. I believe we can make it.
@iVoteAmerica;10419;9877;2/02/2016;United States;The Next Generation of Conservatives® | Voter Opinion Network | Free Markets | Limited Government | by @DonaldTeel | #GOP #TPUSA #YAF | http://iVoteAmerica.com
@IamJWilliams95;1097;1699;25/06/2019;;You know who I am.
@LALALandLeafFan;1885;1540;3/10/2012;Los Angeles, CA;Big Leaf fan from TO living in Cali. Been waiting a long time for a decent team. Twitter is a great way for me to stay connected to #LeafsNation.
@MichaelFrankie6;111;468;15/06/2020;Dublin;History Buff #Resister
@StarryGirl99654;31;231;14/06/2020;Wasilla, AK;Exec risk manager, critical thinker, cowgirl/flower child, loves Jesus, recovering “R”, voting Democrat until Jesus returns. Wear your mask, dammit.
@FabulousThomasJ;3186;3181;27/03/2009;Decatur, Illinois USA;Marine Corps Veteran. Very Frank. Gay. My Tennessee ancestors proudly served in the Union Army during the Civil War.
@sankuperis;2814;715;25/09/2018;Vilnius, Lithuania;Lietuvė. Lietuviete. Leedulanna. Language enthusiast from Lithuania who somehow ended up getting a BA in Political Science.
@autarchofTexas;95;147;26/10/2007;Houston, Texas;Writer. Contrarian. Reluctant attorney. Always Irreverent. Free Speech Absolutist. Also, I like insects and reptiles.
@WillsLyn;3437;2999;11/11/2016;Virginia, USA;Older Lady live in Virginia MAGA Trump 2020 time for all Americans to speak out push back stand up to lies No dating No trains
@AlEastmond;2;6;15/03/2012;;
@Kemp4Democracy;2490;2651;4/03/2018;Henderson County, NC;Voter in NC District 11 #Persister #Resister #StrongSister #Progressive #NastyWoman #BlueToTheCore #BLM 💙🌈🌊🗽⚖ pronouns: She, Her, Hers. INFJ
@PinkSheepNews;625;542;15/12/2013;Collinsport, Maine;Just Another Day In Gay America….
@mooneye13_the;261;254;29/03/2013;United States;
@nigel_revell;522;1177;10/02/2011;England, United Kingdom;Inspirational & motivational speaker, about cancer in young people. Delivers presentational skills training. Hates injustice, Govt lies, corruption & Brexit.
@LizardGirl0;441;1141;22/08/2019;bush knocked down the towers;Resident of Northeast Philly Urban Okrug. Unapologetically Pro-CHECHEN Kabbalist. 💥💥💥💖✡️🙏🇷🇺🇺🇦🇧🇾🐊
@Brandon20105199;0;8;12/08/2020;;I’m just a YouTuber subscribe to xdnikeman
@PeggyAbrahamson;259;693;7/11/2012;Lancaster, PA ;"Democratic Cte. (elected); press officer (DOL); speechwriter (DOE, DOT) bus. journalist; Reagan, Bush I apptee; Obama, Clinton, Biden campaigns."
@TheScottLove;681;4160;23/08/2016;California, USA;Incredibly curious about everything.
@carman17838926;50;595;24/02/2020;21237;Breaking News Movies medicine (inactive,vision impairment , thus all caps) big Pharma rural healthcare senior healthcare
@ssguffey;313;1003;28/05/2014;Colorado, USA;65 years young woman fighting for BLM womans rights, Hispanic rights.
@bobcarr58684439;1;27;13/09/2018;California, USA;Politics
@Boognish12;1219;1120;21/08/2014;Disappearing in the fade;Chaos is on the perch
@RomanaVolny;2382;3144;11/11/2018;South America;Czech-born Canadian WOMAN retired in South America*Pro-Putin/Russia/Trump*Anti-Zionist/Communist*Trolls/idiots will be blocked*PARLER: @mascotatonecuador
@Lemieux1150Jane;4076;4931;11/11/2014;Western Pennsylvania;Hockey fan & cat person. Liberal Democrat. Believe in separation of church & state. NO LISTS! #BLM #KhiveforBiden I’m anti-fascist. why the hell aren’t you?
@Robertamnesia;2585;2583;17/07/2013;a shithole country aka Amerika;All music, indie film and photography enthusiast. Dog lover. 🐶 It's the end of the world as we know it, and i feel fine. This is a MAGAssholes free zone.🇺🇸
@thetruthtoliar1;11;176;1/02/2017;Tennessee, USA;
@mommacorner;26;204;26/06/2011;Columbus, OH;PROUD DEMOCRAT, Mom forever 3 great boys , A wonderful husband, psych nurse, love dogs, love to Sophia, Mason, Corbin, Dempsey, and Beckett
@RadioFlyer1101;4166;4482;11/04/2020;Calgary, Alberta;"MSW/Social Worker; driven by Social Policy analysis. Treaty 7; 🏳️‍🌈 supporter. #blacklivesmatter. #FiretheUCP #kkkenney. Loves dachshunds 🐾"
@Sheryl23373427;2437;4704;30/11/2015;Edmonds, WA;
@Bizypawz;1709;3214;25/09/2015;;Beauty. Truth. Freedom. Love
@MacGregorGarlic;242;424;5/01/2009;Turtle Island, northeast quad;"small & local garlic farmer; independent American; old surfer dude; working to find and speak truth to power; mahalo and Maluhia"
@EveCanadienne;165;211;6/03/2015;CANADA🇨🇦🇨🇦🇨🇦;ParaLegal
@TomVMorris;6840;7120;9/12/2008;North Carolina;Philosopher. Speaker. Author 30 Books—The Oasis Within and the Egyptian novels on wisdom and life! Married, Yale PhD, UNC Morehead-Cain, Fmr Notre Dame Prof.
@iamtogtogiam;854;1300;28/07/2020;World Citizen;Navy Vet, dad, husband, grandpa, artist and poet. #TheResistanceFamily #VoteBlue #BLM #GoodTrouble #MeToo #VetsResist #ArtistsAndPoetsResist #AntiGOP
@JilWaters;3573;4852;21/06/2018;;Middle of the road-er. Women control their own minds, body and souls. Not men or other women. No DMs unless necessary. And oh yeah.....NO WALL!
@sheron_spikes;146;422;23/06/2020;;culiary artist. pianist. Avid reader. climate activist
@BobRmhenry1;14293;14144;28/11/2015;Peoples Republik of Kalifornia;"IFB Patriots. Born twice. Account for Bob Henry; flipping the money changer's tables and drainin the swamp to see who has no clothes... #WeAreSoScrewed #MAGA"
@LvCa2;2077;2496;16/05/2010;Riverside, CA area;Hope to die Dem. Resist! As broke as a dentist in a meth house. I'd like to procrastinate, but keep putting it off. 😋
@fesi_df;418;303;26/03/2014;Philadelphia via the world;I'm just a man, a man who has seen some shit. But just a man.
@kmoliscollier;370;528;26/08/2012;Minnesota, USA;Minnesota #Resister #Centrist #EssentialEmployee #NastyWoman I love my family, my dog, and my cattle. My views are mine alone. Ego Expergiscimini -I am awake.
@Dogmommaz3;705;5000;6/09/2014;;"Retired AF veteran. I enjoy history ;( especially Colonial Period) my dogs; the outdoors; gardening and a very proud mom! RT doesn’t mean support!"
@Raytown_12;2209;3120;21/07/2015;Washington, USA;DieHard Cub fan. Seahawks fan. Technologist. Liberal, Patriot, Historian. Amateur scientist & Activist. MY thoughts & opinions., #Resist 🌊 #FBR
@WendyCreates;62;379;20/07/2020;;Screenwriter, Visual Artist, Poet, Graphic Designer, Photographer, Event Planner, Journalist, Sales Rep
@JamesCharlesWa7;0;7;5/08/2020;;I am a young man who is black and who is trying to permanently stop Donald Trump
@rnadna2;1931;2955;2/05/2010;United States;I BLOCK Cockroaches
@mattfier;510;283;4/04/2009;PDX;IG: @mattfier I RT a lot to stop #Fascism and #CultistChristianCons from being allowed to spread hate.
@Klayoven;3055;4999;25/03/2011;YEG... and left of centre;| Proud Canuck 🇨🇦 ABn 🇨🇦 YEGger | Poli, Music, Food | GSDs | IT... Agile... blah^3... somebody say requirements? |
@cov_19worldstat;33;174;21/11/2017;;Giving information regarding statistics and medical trials -news tweets. Daily we collect statistic data & news from reliable resources.
@sauconykid;3588;3548;10/11/2013;;F1 fan, Runner........&....world traveller
@RangerLeRoyAda1;241;573;5/01/2020;;I am an Army Veteran from Nevada. Cat Person,Pagan,Ancient history geek and author. Vote blue no matter who.
@pkacee;395;259;23/03/2011;Ghana, Accra;I am Paa | Open-minded | Reasonable enough
@saltMariaa;1915;602;15/08/2011;Dalmacija;Rekli mi da izgledam kako neka fina Turkinja. studiram kemiju.
@MillerOval;178;160;2/04/2019;;BIGGEST BOSS
@tlumaczEN;537;1575;16/02/2013;Warsaw;Do it with passion or not at all
@CildaShaur;68;418;28/09/2012;;"Daughter. Actor. Skinologist & CEO of ""The Pretty Puss™"" ~ Your face will glow! Instagram: CildaShaur & CildaSkin"
@imaldridge;328;2502;5/02/2013;;Tarheel fan and alumni, travel
@Dusklikethunder;3736;4662;16/08/2009;Boca Raton, FL;Engineer Extraordinaire, Married to an Amazing Cherokee. #resister,#resistance,#resist....Very Proud Tough Jew!
@phil_marlo;20077;19497;4/07/2018;The United States;Staunch 3rd Amendment proponent. Inveigling followers & opposing the mutated remains of the GOP #Resist #BidenHarris2020 since day 1
@RealPaulLewis;4121;2388;27/02/2010;Citizen of Nowhere;Social media is a vile, illiterate, anti-vaxxer, right-wing sewer that caused Brexit and Trump. Shut it down.
@andendall;142151;69989;1/09/2012;New York;🌊🌊🌊Multinational perspectives for a less parochial world. Help me on my journey to remove the Stupid from Stupidparty. #Resist 🌊🌊🌊
@NEWS9;191134;5777;18/08/2008;Oklahoma City;KWTV, CBS Affiliate - http://News9.com is your local source for information in Oklahoma City, delivering breaking news, weather, and sports.
@YvanL13;217;61;23/06/2013;;🇨🇲🔛🇬🇧. self affiliated
@hardworkusa;345;1037;30/07/2016;Xxxxx;A Christian first, family 2nd, work3rd. thru Gods blessings & hardwork own multi corp. Am a independent I choose not party but best person for our great country
@rhoar_baitch;791;1663;22/01/2017;Your Town;John Lewis passed July 17 2020. Celebrate him by cleansing us of 'trumpism' November 3 2020
@JohnsonRussiaLi;10730;1399;19/08/2010;Washington, D.C. and Global;Johnson's Russia List, the JRL, has been a favored source of diverse Russia-related information since 1996. Tweets do not constitute endorsement or agreement.
@LisbethS34;690;1125;12/08/2017;;
@MichaelNapoli7;162;477;9/10/2015;New York, NY;Embarrassed Republican, tired of the GOP members of Congress lying for Trump. Country First
@Tony98Tony;355;405;19/05/2012;;
@Infantry0300;42600;18110;17/06/2015;North Carolina, USA;USMC Vet, Attorney, Motorcyclist, Urban Farmer, Private in Grant’s Army working to defeat the Scumbag GOP & Trump. If blocked, you're a moron, X, Q, or traitor.
@cedalimun;606;199;14/05/2018;she/they • 20 • 🇭🇷;if only life’s swift needle did not wag me through the world as if i were a thread.
@Tonto250;20;87;9/12/2010;East Coast;
@deerhyde;350;1630;9/11/2016;;Luv Asian chicks.......MAGAS WILL BE BLOCKED #RESIST
@RhapsodysBIues;4276;4993;12/07/2009;;Photography, Human Rights, Animal Rights, Special Education. Likes are markers, not affirmation. Immunocompromised. Patriot. Allergic to drama.
@esneet4113;3141;4917;4/04/2013;On the Gulf Stream;Sailing bug! ⛵️ Creator of #TrumpNotes🙀🐾📒 #doodleWesneet ✏#CatChat #SteelersNation #Cubs #TheResistance 💙🇺🇸
@AllBrPolitics;183;103;28/07/2018;Brazil;A Brazilian who wants to make as many people as confused about their country as they are. Left-leaning, science-based, and progressive.
@mgcanmore;2348;1013;26/09/2013;;Husband, Father, Grandfather, Geologist, retired Executive, proud US/Canadian Citizen, extremely proud supporter of Truth, Justice & the American/Canadian way.
@SSestanovich;7377;582;2/11/2013;;Columbia U. prof, CFR sr fellow, USG survivor, author of Maximalist: America in the World from Truman to Obama. (And hey, no liking: just retweet!)
@BotEkaf;16;68;16/01/2020;;This is a fake news bot. Made by Professor Hoyt's Fake News class.
@NofrontRunnersx;1;0;5/02/2011;#NEW YORK CITY#;The moment the Republican Party refused to admit Witnesses into in the impeachment hearings.. that was the beginning of the end of Trump.
@myVOpower;941;2121;12/05/2020;West Michigan, USA;Essential
@CSBlenner;676;560;12/02/2019;;Working like a Stakhanovite for Soros and Gates to implement the New World Order
@teare_j;380;1982;7/07/2012;Houston, TX;
@just_dawning;995;1466;20/07/2017;;
@BostonDivine;929;844;18/06/2020;Florida;🚫NO LISTS PLEASE🚫 The Boston Cream donut is my spirit animal! Donuts, coffee, cats, and art. Animal rights, feminist. Be kind. Life long Democrat! #Resist
@patmathewsriden;252;558;26/10/2010;;
@Dyclo_Mvp;55;507;22/12/2012;Paris, France;Superviseur #TeamKompa
@ccs_rshb;13139;8206;17/06/2010;Nevada, USA;Retired Stay-at-Home #RESISTER😇😎😷⚡🇺🇸 #FLIPSenateBLUE🌊#VOTEBlueNoMatterWho🌊#KEEPHouseBLUE🌊#BLUETSUNAMI2020🌊 ⚡#FBR ⚡ #BLM ⚡#STRONGERTOGETHER ⚠️
@Krisehandtering;2737;4688;16/04/2010;Oslo, Norway;Former Director General for Press- & Information at the Royal Ministry of Defense and CEO at PR-agencies.
@ncappraiser30;1902;4664;15/12/2015;Gibsonville, NC;Retired Appraiser from CA and NC
@Tru2KO;440;896;31/01/2011;Green Town in a Blue State;J Ingham: Wicked MA Liberal🌊.🌈🐈♍🕎🎶 #Resist #WearAMask #BlackLivesMatter #GOPComplicitTraitors #TrumpIsADictator Best day ever when @AliVelshi followed me!
@rainerickson;916;1690;16/11/2015;Colorado, USA;... --- ...
@hankgiovano;194;386;19/03/2020;NYC;“Until ALL are Treated Equally in this world”. AMERICANS are Getting Dumber by the second, NO The EARTH is NOT FLAT.
@davidmweissman;175347;8041;14/10/2012;Palm Bay, FL;US Army Combat Veteran. Unapologetic Former Trump Supporter, Former Conservative Republican, Liberal Democrat. Jen Fanton’s boyfriend. #BidenHarris2020
@RandomNews5;35;20;28/02/2014;;Random headlines from @TheOnion, @CNN, @BBC, @NPR, @nytimes, and @BuzzFeedNews. Bot managed by @rchomium
@effiedog;14623;14288;1/06/2013;Philadelphia, PA;🎥Former b'cast journo🎙️NBCNews, WNBC SternShow🚁, ABCNews, 🗽NYC-VO Dallas-VO🐎 Phoenix-VO🌵 Philly🌇 #MaskUp 😷#BlackLivesMatter #VoteJoe📬
@WeAreMel;19506;1745;4/10/2015;Los Angeles, CA;“mel always has the take i didn’t know i needed.” —@delia_cai // http://instagram.com/wearemel // tweets by @fillegrossiere // you’ll like our emails: http://upscri.be/78bf3d
@littelbabyy;1034;974;9/12/2017;;J’ai pas d’âge cousin 😼 Bebeto Bebeto 🥩🥊
@SandyBurrell7;84;70;23/06/2018;United States;Lifelong learner/educator, wife/mom/grandmother, believes “liberty & justice for all”, reads, travels, believes in science not quackery, dog lover.
@aheffne;3162;3123;19/05/2012;do not wish to be located.;I block all bots and haters. my bio is my business. if you don't like it, don't follow me. someone just said you'll think I'm a bot. so be it.
@Christ_Will_Iam;0;0;17/01/2017;Illinois, USA;"I am Jesus Christ. Police/government officials are attacking me & steal my designs for $. They lie to many. I have proof of death threats; read pinned thread!🚨"
@Trnrjss4;60;892;12/08/2011;;
@JimTrotter7;20;56;27/04/2016;Canada;Love for sports
@PeggyKraft1;241;825;26/10/2011;;
@TheEmporer3;1;0;29/02/2020;;Born small along time ago and grew big. Now I see the world as it is.
@CicerosLogic;2196;4916;15/01/2010;MidAtlantic;sociologist, artist, author, & gardener SocialJustice, environment, tolerance & conscience, separate church & state #DACA #LGBTQ #Resistance #NeverAgain
@Terrenc91011033;1403;2092;14/01/2020;Sparks, NV;Love politics, travel, family, friends and value all opinions. #VoteBlueNoMatterWho #TrumpDepression/ Save a pet Say NO to 🚫❌🛑Backyard Breeders 🇬🇸🇺🇸🗳🌊
@AllAroundMBrown;2441;2229;18/04/2012;;"Writer/blogger gay guy, w/ OCD & perfection issues. When I screw up, I do it perfectly. RT/Like isn't always endorsement; you may have made me think or laugh."
@OnlyWhiteTiger;20978;23015;23/06/2011;New York;I am with the Resistance. Also happily married to a Democrat. I am now a Democrat.
@j_officerandrew;1191;4999;26/04/2015;;Seek an Experience of Being Alive!
@SEMPERFISGT;991;1686;10/10/2009;;Former Marine...Disabled Vet...Gay..and proud to be an American
@dimitrigalanis;1448;1770;26/01/2009;World ;a negative-positive mosquito buzzing in the ear of a total vacuum
@ultimate1us;3273;4391;6/04/2014;;"Trump is the ultimate anti-human; he must be stopped. No ""Humanoid"" in history can match his racism, stupidity, dictator admiration, narcissism & corruption."
@DruryPatricia;68;440;7/05/2013;;
@BrennanAngeline;1176;1441;30/01/2012;;864511032020. #BlackLivesMatter. #ImpotusAmericanus
@ips1987;5464;2682;18/02/2015;Νίκαια;Επί Υπαρκτού Παναθηναϊκού...
@thinman;155;2900;11/04/2007;Mottled Blue Space Marble 🌍;Steadfastly irresolute. Mostly. Sometimes.
@pennyannecole;89;34;1/12/2012;Santa Clara CA;Award winning author of Children's Chap books, PBs &. Short Stories. Writes Poetry & Memoir. Member CA Writers Clubs, Tutor. & Certified Reading Therapist.
@MaudeSellers13;132;706;9/05/2017;NYFC;Aquarian, Atheist, Boomer, Deadhead, NP. All Rights Reserved. All Wrongs Reversed. She/her #ReleaseVolume5 #BidenHarris2020Landslide
@is_putin_dead;116;110;13/03/2015;;
@stansoloway;1401;229;3/09/2010;;President & CEO, Celero Strategies, LLC
@LvCa2;2076;2496;16/05/2010;Riverside, CA area;Hope to die Dem. Resist! As broke as a dentist in a meth house. I'd like to procrastinate, but keep putting it off. 😋
@RWTrollPatrol;8497;3584;31/03/2016;PNW ;Former rescue crewman and rescue swimmer on Copter 7. Sheriff's SAR K9 handler. Two time recipient of the MOV. Sheriff's Air Unit.
@tigercooke;983;927;21/10/2008;Dublin;Un-pop pioneer. I write amazing songs that nobody knows. Indie Irish songwriter & musician with a soulful dark-folk sound. (aka Tadhg Cooke)
@cyrsani;31;102;8/06/2020;🇮🇷;i would like to be famous someday :3
@sassycamelco;3190;4835;2/12/2015;Okemos, MI;Apparel and gifts with Purpose and Meaning for Ladies and Babies. Motto: Stand Tall and Proud! #SassyCamelCo Please no inappropriate follows and requests!
@LovesTheLight;5767;1281;20/09/2018;;Love of the Lord before all things. He is the way, the truth and the life.
@dascotto;213;612;28/05/2009;United States;Country over Party
@DrLeoStrauss;2581;2115;14/02/2010;Washington, D.C.;Russia, Asia political, econ, military & intel focus. Applied transnational legal, commercial, policy & natsec experience. RTs = interesting. По Русски 日本語
@Destinbeach22;32001;35261;6/10/2012;;LOVE GOD, COUNTRY and MY FAMILY! ON TWITTER TO HELP VOICE MY POLITICAL VIEWS! MAGA!! TRUMP❤️WIFE TO A FIREFIGHTER 38 Yrs AMAZING KIDS! LUKA my GRANDSONS LACHY
@olddog95;354;1090;10/03/2010;United States;We need a Biden landslide. Trump & Republicans must be driven from office. They golfed while Trump’s COVID-19 killed 161,000+ Americans and infected millions.
@Putin_jnr;2699;1641;6/02/2011;Cybertron;﷽ I’d Rather Live My Life Knowing That I’m Not Perfect, Than Spending My Whole Life Pretending To Be ||| Victoria Concordia Crescit @Arsenal @AllBlacks ❤️
@DocAdams1;182;515;12/11/2011;;retired Air Force. Democrat.
@Diplopundit;8033;3025;28/10/2009;Earth;Just one obsessive compulsive observer, diplomatic watcher, opinionator and noodle newsmaker
@arizona319;406;704;14/01/2017;Desert;Registered Independent since '72
@timeoutofmind64;1104;2039;12/02/2017;;"PhD UMich 1994; historian of Chinese Buddhism"
@GlobalPandemics;26104;25321;13/07/2010;WORLDWIDE;Breaking News & Critical Information to SURVIVE the Coronavirus Outbreak / Civil Unrest
@gamegrouch;132;69;27/04/2018;;
@bot_london;12;114;21/05/2019;;@londonaverylyle's bot
@FrancoZerlenga;49;40;24/09/2012;New York City;
@Wepp;387;1476;20/12/2008;Longmont, CO;Wife of @ceppwepp mother of @eppersonj keeper of 2 Fox Terriers Reno & Jolie #OlympicTorchbearer 2012 in Richmond-u-Thames 'Tis a privilege to live in Colorado'
@notbetty4ever;406;442;5/07/2016;...a faraway galaxy called NJ ;Student of human nature, cats, rocks & hopeful beyond reason...
@ellebal1111;162;674;26/08/2010;Canada;Yesterday is not ours to recover, but tomorrow is ours to win or lose.
@bsonder;6893;7461;19/02/2009;Philadelphia, PA;MaskWearing & 6ft distancing Animal 💜er, ally to people of all races, #BlackLivesMatter Lifetime Proud member of the Leftwing http://victorsonder.blogspot.com/
@GIS_Reports;6420;67;6/05/2011;Liechtenstein;Geopolitical Intelligence Services. We offer independent political intelligence, strategic analysis and future scenarios on international affairs.
@meljmcd;2528;2415;14/11/2010;;EROMENOS - historical fiction about Antinous and Hadrian. Bucatini Productions, LLC: Horror/Sci-Fi Comedy
@Eagle5022;115;471;4/08/2020;;No Hate , All Brothers , Aco/2nd/502. 101st Abn / Paratrooper. Vietnam Veteran. 1966. Very low threshold for BS. Grandfather 9 girls 2 boys. Retired Carpenter
@maquishq;1977;2998;1/07/2020;California ;"Parisienne expat,""Resident Alien"" in California, résistante since 1974, Polyglot, reading machine, Mata Hari skilled, tigerly sweet, nazis beautiful nightmare."
@AncsyM;196;573;26/10/2011;;
@WINDSONG58;3219;3720;14/08/2009;Liverpool England;Old fart with good heart,I hope !.Spirits willin,body,s knackered,yep that sums it up..FAIR DAYS WORK=FAIR DAYS PAY.PEOPLE NEED TO LIVE .RIP Michael Scott Brown
@DMDent;1997;5002;12/02/2015;Lewes East Sussex;Fine Artist Equine subjects. Love Horse racing esp NH. Fashion Stylist/Creative. Sustainable Fashion consultant 🏴󠁧󠁢󠁷󠁬󠁳󠁿🏇🐏👠
@Vincent94077438;0;0;24/05/2020;;A Firm Believer in the Lord Jesus Christ & Committed to his Devine Will & Purpose!! Love people in General & believes in Helping others in need !!
@LanceMa89524580;170;367;28/07/2019;Parts Unknown ;#LGM I Travel a lot to very unglamorous places and I'm the epitome of a non-essential worker. However, I'm the best there is at it.
@fytethefakepres;2;0;23/01/2016;;i have not always been this jaded... abrasive... rude... it’s accumulative. Traits acquired over many years of witnessing unrelenting injustice in this world.
@mpalmond;272;68;16/09/2012;;
@RogerRRivera1;300;502;21/01/2017;San Jose, CA;Worker advocate, Father, & a student of Political Science. I’m determined to expose Putin's American Idiot & those in the gutless GOP Congress that laid down!
@LCSTORM2;992;1364;19/11/2019;;Democrat, proud to #resist against racist & un American actions committed by Republicans on a daily basis especially #TraitorTrump
