,Twitter Query: #VotoDeConfianza lang:es -filter:retweets -filter:replies,,,,,,,,,,,,,,,,,,,
Date,Screen Name,Full Name,Tweet Text,Tweet ID,Link(s),Media,Location,Retweets,Favorites,App,Followers,Follows,Listed,Verfied,User Since,Location,Bio,Website,Timezone,Profile Image
12/08/2020 13:46,@MesasPrez,Mesías García P.,#ToqueDeQuedaLosDomingos! #Vizcarra salió con el pecho inflado nuevamente luego que @congresoperu aprobó #VotoDeConfianza a Premier Martos. La aprobación fue para #Martos;no para él. Que quede claro. @ExpresoPeru @WalterMartosR @PanoramaPTV @pcmperu @EsSaludPeru @reyconbarba,1293619981788291074,,,,0,0,Twitter for iPhone,419,1342,2,,26/10/2012,,Viajero de mundos. La cólera o el odio son como un anzuelo de un pescador. Es de vital importancia no morder ese anzuelo.,,,View
12/08/2020 13:44,@jaimeasian,Jaime Asián,"Vizcarra: ""Hagámozlo por las personas que más queremos"". #MartinVizcarra #NuevasMedidas #COVIDー19 #VotoDeConfianza #MensajePresidencial #Cuarentena",1293619484599685122,,,,0,0,Twitter Web App,1440,1949,15,,2/11/2010,"Lima, Perú.",Director del diario Ojo,http://www.ojo.pe,,View
12/08/2020 13:44,@jaimeasian,Jaime Asián,"Vizcarra: ""Tenemos que retroceder un paso... y desde este domingo volveremos a la inmovilización obligatoria a nivel nacional"". #MartinVizcarra #NuevasMedidas #COVIDー19 #VotoDeConfianza #MensajePresidencial #Cuarentena",1293619342719037449,,,,1,0,Twitter Web App,1440,1949,15,,2/11/2010,"Lima, Perú.",Director del diario Ojo,http://www.ojo.pe,,View
12/08/2020 13:41,@jaimeasian,Jaime Asián,"Vizcarra: ""Ahora el principal foco de contagio son nuestros familiares, amigos en las pichanguitas, parrilladas y quinceañeros"". #MartinVizcarra #NuevasMedidas #COVIDー19 #VotoDeConfianza #MensajePresidencial #Cuarentena",1293618672402149379,,,,1,0,Twitter Web App,1440,1949,15,,2/11/2010,"Lima, Perú.",Director del diario Ojo,http://www.ojo.pe,,View
12/08/2020 13:38,@jaimeasian,Jaime Asián,"Vizcarra: ""Estamos resaltando la prohibición de reuniones familiares"". #MartinVizcarra #NuevasMedidas #COVIDー19 #VotoDeConfianza #MensajePresidencial #Cuarentena",1293617799944970242,,,,0,0,Twitter Web App,1440,1949,15,,2/11/2010,"Lima, Perú.",Director del diario Ojo,http://www.ojo.pe,,View
12/08/2020 13:35,@jaimeasian,Jaime Asián,"Vizcarra: ""Ingresan a cuarentena 5 departamentos y 34 provincias"". #MartinVizcarra #NuevasMedidas #COVIDー19 #VotoDeConfianza #MensajePresidencial",1293617224117374977,,,,0,0,Twitter Web App,1440,1949,15,,2/11/2010,"Lima, Perú.",Director del diario Ojo,http://www.ojo.pe,,View
12/08/2020 13:34,@jaimeasian,Jaime Asián,"Vizcarra: ""En julio se ha visto un rebrote y eso se debe a que hemos debilitado nuestras acciones para evitar el contagio"". #MartinVizcarra #NuevasMedidas #COVIDー19 #VotoDeConfianza #MensajePresidencial",1293616874836680705,,,,0,0,Twitter Web App,1440,1949,15,,2/11/2010,"Lima, Perú.",Director del diario Ojo,http://www.ojo.pe,,View
12/08/2020 13:28,@jaimeasian,Jaime Asián,"Vizcarra: ""Tenemos que garantizar el cumplimiento del distanciamiento social con operativos"". #MartinVizcarra #NuevasMedidas #COVIDー19 #VotoDeConfianza #MensajePresidencial",1293615396738797568,,,,0,0,Twitter Web App,1440,1949,15,,2/11/2010,"Lima, Perú.",Director del diario Ojo,http://www.ojo.pe,,View
12/08/2020 13:27,@jaimeasian,Jaime Asián,"Vizcarra: ""Hemos tenido errores en todo este proceso de enfrentar a la Pandemia"". #MartinVizcarra #NuevasMedidas #COVIDー19 #VotoDeConfianza",1293614984572866563,,,,0,1,Twitter Web App,1440,1949,15,,2/11/2010,"Lima, Perú.",Director del diario Ojo,http://www.ojo.pe,,View
12/08/2020 13:21,@bobsparz,Roberto Esparza 🇵🇪,Voy a decir algo impopular: me parece bien que no le hayan dado el #VotoDeConfianza a Pedro Cateriano.,1293613568190021632,,,,0,1,Twitter Web App,3191,954,146,,21/07/2009,Lima Perú,Cantautor / Comunicador para el Desarrollo / Márketing Digital / Intolerante a la hipocresía / Chilcanolover / Pizza con Piña / Solo me siguen los valientes,http://soundcloud.com/roberto-esparza,,View
