Date,Screen Name,Full Name,Tweet Text,Tweet ID,Link(s),Media,Location,Retweets,Favorites,App,Followers,Follows,Listed,Verfied,User Since,Location,Bio,Website,Timezone,Profile Image
11/08/2020 21:44,@pcmperu,Consejo de Ministros,"Con 115 votos a favor, el @congresoperu otorgó el #VotoDeConfianza al Gabinete Ministerial presidido por @WalterMartosR, quien presentó la política general de Gobierno ante la representación nacional. #ElPerúPrimero",1293377888893493248,,https://pbs.twimg.com/media/EfL_utVXoAAybig.jpg,,35,91,Twitter Web App,592580,627,956,✅,31/07/2010,Lima - Perú,"Presidencia del Consejo de Ministros: Promovemos un Estado moderno, articulado y descentralizado, orientado a brindar un servicio de calidad a la ciudadanía",http://www.gob.pe/pcm,,View
11/08/2020 21:44,@alexperec,Alejandro Neyra,"Con el #VotoDeConfianza al gabinete seguiremos trabajando con sentido de unidad con los representantes del @congresoperu para atender sobre todo las necesidades urgentes de nuestros pueblos indígenas, buscando cerrar las brechas sociales y cumplir nuestra #PolíticaDeCultura2030",1293377835462283264,,,,1,24,Twitter Web App,4788,2790,43,,23/08/2009,"Lima, Peru",Escritor y diplomático peruano. Ministro de Cultura ¡Arriba Perú!,http://www.alejandroneyra.com,,View
11/08/2020 21:43,@sencinas,Salvador Encina,"#VotoDeConfianza habría un ""toma y daca"" con el @congresoperu muchos legisladores estarían contra los contratos de ""gobierno a gobierno"" anunciado por @PCaterianoB porque afecta a las mafias de congresistas, gobiernos regionales y alcaldes @MontoyaAbsalon @rmapalacios",1293377635561680897,,,,0,0,Twitter Web App,12,49,0,,16/04/2009,,,,,View
11/08/2020 21:43,@Jqc0205,Jqc,Ya se veía venir el #VotoDeConfianza No le quedaba de otra al congreso.,1293377595678040064,,,,0,1,Twitter for Android,6,260,0,,5/02/2020,,,,,View
11/08/2020 21:42,@ElCaminantep,El Caminante,El gobierno de Paraná ha anunciado q firmará un acuerdo con Rusia para producir la vacuna Sputnik V. El anuncio se produjo horas después de que el presidente ruso Vladimir Putin anunciara la vacuna como la primera registrada en el mundo. Se dan cuenta q rapidez #VotoDeConfianza,1293377165589983232,,,,0,0,Twitter Web App,1469,3747,9,,3/10/2012,,Amante de las nuevas eras. Caminando en tus letras.🇵🇪,,,View
11/08/2020 21:40,@ERICKEDU,ERIK,"#VotoDeConfianza Vizcarra puso al congreso POPULISTA contra la pared, si votaban en contra el 2021 todos serian cadáveres políticos, porque tendrían en su contra a todo el país. Puro calculó político. Los que están haciendo bilis son los Fujiapristas. 😆",1293376870621339649,,,,0,1,Twitter Web App,1143,1424,4,,31/05/2009,,"El mundo necesita gente alegre, con pequeñas dosis de locura. Loco de atar/ adicto a la música/ Comercio internacional en Oakland University ...No me sigan.",https://Zen.com,,View
11/08/2020 21:40,@naniluce,Lu Rocha💙🇵🇪,Que bueno que dieron el #VotoDeConfianza casi al mismo gabinete anterior. Ahora pónganse a trabajar @congresoperu,1293376727809433602,,,,0,1,Twitter for Android,306,632,1,,16/09/2009,Peru,"Dios, Layka, mi familia y Alianza Lima. Ceratiana eterna.",http://nanilu374-luce.blogspot.com/,,View
11/08/2020 21:40,@el_chichitoN,JSalasA,¿Cómo se sentirá Cateriano luego de saber que el Congreso finalmente le dio #VotoDeConfianza al gabinete de Walter Martos?,1293376669365997570,,,,0,0,Twitter for iPhone,33,267,0,,29/05/2013,"Lima, Peru",Practicante de periodismo y profesor de español en WhatsApp,,,View
11/08/2020 21:39,@realDanielJara,Daniel Jara,"El congreso de la República otorgó el #VotoDeConfianza con 115 votos al premier, Walter Martos, esta vez no esperamos hasta las 5 am para estar informados de la votacion en pleno.",1293376605155450881,,,,0,0,Twitter for Android,1527,1402,1,,26/02/2020,"Lima, Peru","Demócrata Capitalista |Análisis Político y Economía| Estudia Arquitectura en USMP. ~Politics is not an exact science, it is an art~",https://www.instagram.com/eusou.jaracabins/,,View
11/08/2020 21:39,@HallaziLuis,Luis Hallazi,"115 #VotoDeConfianza a Walter Martos, frente a 37 de Cateriano. Una explicación es el rechazo a cierta élite limeña autoreferencial. PRIORIDAD la lucha contra #COVIDー19",1293376501728124931,,https://pbs.twimg.com/media/EfL_EeZX0AAr6o8.jpg,,1,4,Twitter for Android,938,966,2,,12/10/2017,,"Abogado y politólogo, investigador en derechos humanos.",,,View
11/08/2020 21:39,@CarlosCSalv,CarlosCS,#VotoDeConfianza hasta el nuevo gabinete obtuvo un voto de confianza.... ella nunca sabrá lo que es eso :(,1293376447579598850,,,,0,0,Twitter for Android,1,9,0,,30/09/2019,,,,,View
11/08/2020 21:39,@cconstantini,Carlo A. Constantini,"La votación de #VotoDeConfianza más alta de los últimos 20 años con un mensaje simple y sin querer imponer las cosas. Ah y con el mismo gabinete. Esto le va a doler a Cateriano. RT @kikesitov67: #LOULTIMO Pleno del congreso otorgó la confianza al gabinete ministerial presidido por Walter Martos. 115 votos a favor, 5 en contra y 4 abstenciones @RPPNoticias",1293376428738830338,https://twitter.com/kikesitov67/status/1293362945368481794,,,0,2,Twitter for Android,555,853,10,,25/04/2009,Peru,Economista. Mercado de Capitales e inversiones. Liberal clásico.,,,View
